CAMERA TYPE,CAMERA LOCATION CODE,Location,
MOBILE SPEED CAMERA,0086D,-35.251716,149.075236
MOBILE SPEED CAMERA,0087A,-35.42678,149.10741
MOBILE SPEED CAMERA,0087B,-35.42542,149.10587
MOBILE SPEED CAMERA,0087C,-35.42718,149.11102
MOBILE SPEED CAMERA,0087D,-35.42698,149.11107
MOBILE SPEED CAMERA,0087E,-35.42633,149.11215
MOBILE SPEED CAMERA,0087F,-35.42997,149.11998
MOBILE SPEED CAMERA,0088A,-35.32621,149.02276
MOBILE SPEED CAMERA,0088C,-35.33647,149.003831
MOBILE SPEED CAMERA,0088D,-35.330171,149.011335
MOBILE SPEED CAMERA,0089B,-35.22128,149.17493
MOBILE SPEED CAMERA,0089C,-35.216731,149.182986
MOBILE SPEED CAMERA,0089D,-35.215409,149.184654
MOBILE SPEED CAMERA,0089E,-35.212912,149.188416
MOBILE SPEED CAMERA,0089F,-35.215655,149.185031
MOBILE SPEED CAMERA,0090A,-35.22194,149.19591
MOBILE SPEED CAMERA,0090B,-35.22927,149.19663
MOBILE SPEED CAMERA,0090C,-35.242,149.19423
MOBILE SPEED CAMERA,0090D,-35.27146,149.19578
MOBILE SPEED CAMERA,0090E,-35.28294,149.19359
MOBILE SPEED CAMERA,0090F,-35.24192,149.19407
MOBILE SPEED CAMERA,0090G,-35.22205,149.19568
MOBILE SPEED CAMERA,0090H,-35.2147,149.18952
MOBILE SPEED CAMERA,0091A,-35.23733,149.1254
MOBILE SPEED CAMERA,0091B,-35.2344,149.12518
MOBILE SPEED CAMERA,0091C,-35.23184,149.12061
MOBILE SPEED CAMERA,0091D,-35.23164,149.11515
MOBILE SPEED CAMERA,0091E,-35.2344,149.12539
MOBILE SPEED CAMERA,0091F,-35.24143,149.12637
MOBILE SPEED CAMERA,0092A,-35.23832,149.14024
MOBILE SPEED CAMERA,0092B,-35.23709,149.14213
MOBILE SPEED CAMERA,0093A,-35.23419,149.05256
MOBILE SPEED CAMERA,0093B,-35.23231,149.04994
MOBILE SPEED CAMERA,0093C,-35.22915,149.04283
MOBILE SPEED CAMERA,0093D,-35.22865,149.03947
MOBILE SPEED CAMERA,0093E,-35.23204,149.04982
MOBILE SPEED CAMERA,0093F,-35.23498,149.05485
MOBILE SPEED CAMERA,0094A,-35.22352,149.03047
MOBILE SPEED CAMERA,0094B,-35.2215,149.02763
MOBILE SPEED CAMERA,0094C,-35.2195,149.02132
MOBILE SPEED CAMERA,0094D,-35.21887,149.01249
MOBILE SPEED CAMERA,0094E,-35.21995,149.02367
MOBILE SPEED CAMERA,0095A,-35.3916,149.10229
MOBILE SPEED CAMERA,0095B,-35.38573,149.09643
MOBILE SPEED CAMERA,0095C,-35.37926,149.0745
MOBILE SPEED CAMERA,0095D,-35.37389,149.06034
MOBILE SPEED CAMERA,0095E,-35.3789,149.07367
MOBILE SPEED CAMERA,0095F,-35.38174,149.07897
MOBILE SPEED CAMERA,0095G,-35.38312,149.08737
MOBILE SPEED CAMERA,0095H,-35.39052,149.1019
MOBILE SPEED CAMERA,0096A,-35.247,149.05632
MOBILE SPEED CAMERA,0096B,-35.24619,149.0561
MOBILE SPEED CAMERA,0096C,-35.26126,149.05598
MOBILE SPEED CAMERA,0096D,-35.26332,149.05582
MOBILE SPEED CAMERA,0096E,-35.22692,149.06069
MOBILE SPEED CAMERA,0096E,-35.22691,149.06072
MOBILE SPEED CAMERA,0096F,-35.23347,149.05841
MOBILE SPEED CAMERA,0096G,-35.23427,149.05816
MOBILE SPEED CAMERA,0096H,-35.25303,149.05467
MOBILE SPEED CAMERA,0096I,-35.22837,149.05913
MOBILE SPEED CAMERA,0096J,-35.22338,149.06211
MOBILE SPEED CAMERA,0096K,-35.23784,149.05781
MOBILE SPEED CAMERA,0096L,-35.2344,149.05799
MOBILE SPEED CAMERA,0097A,-35.24594,149.07515
MOBILE SPEED CAMERA,0097C,-35.2452,149.07488
MOBILE SPEED CAMERA,0097D,-35.2473,149.07623
MOBILE SPEED CAMERA,0098A,-35.25226,149.08738
MOBILE SPEED CAMERA,0098B,-35.24428,149.09109
MOBILE SPEED CAMERA,0098C,-35.24094,149.08996
MOBILE SPEED CAMERA,0098D,-35.23711,149.09088
MOBILE SPEED CAMERA,0098E,-35.23761,149.09108
MOBILE SPEED CAMERA,0098F,-35.24735,149.09133
MOBILE SPEED CAMERA,0098G,-35.25039,149.08925
MOBILE SPEED CAMERA,0099A,-35.34128,149.09475
MOBILE SPEED CAMERA,0099B,-35.34244,149.09659
MOBILE SPEED CAMERA,0099C,-35.3487,149.10024
MOBILE SPEED CAMERA,0099D,-35.34212,149.09576
MOBILE SPEED CAMERA,0099E,-35.34038,149.09318
MOBILE SPEED CAMERA,0100A,-35.33043,149.13031
MOBILE SPEED CAMERA,0101A,-35.35697,149.06373
MOBILE SPEED CAMERA,0101B,-35.35196,149.06259
MOBILE SPEED CAMERA,0102A,-35.2965,149.17462
MOBILE SPEED CAMERA,0102B,-35.29638,149.17471
MOBILE SPEED CAMERA,0102C,-35.28269,149.14974
MOBILE SPEED CAMERA,0102D,-35.28302,149.15418
MOBILE SPEED CAMERA,0102E,-35.28319,149.15585
MOBILE SPEED CAMERA,0102F,-35.28378,149.15932
MOBILE SPEED CAMERA,0102G,-35.28573,149.16329
MOBILE SPEED CAMERA,0102H,-35.28555,149.16236
MOBILE SPEED CAMERA,0102I,-35.28433,149.16012
MOBILE SPEED CAMERA,0102J,-35.28361,149.15784
MOBILE SPEED CAMERA,0102K,-35.28327,149.15476
MOBILE SPEED CAMERA,0103A,-35.32703,149.12983
MOBILE SPEED CAMERA,0103B,-35.32567,149.13175
MOBILE SPEED CAMERA,0103C,-35.32808,149.12856
MOBILE SPEED CAMERA,0104A,-35.36267,149.10283
MOBILE SPEED CAMERA,0104B,-35.36326,149.09653
MOBILE SPEED CAMERA,0105A,-35.31894,149.1062
MOBILE SPEED CAMERA,0105B,-35.31869,149.11207
MOBILE SPEED CAMERA,0106A,-35.22043,149.07001
MOBILE SPEED CAMERA,0106B,-35.2108,149.08171
MOBILE SPEED CAMERA,0106C,-35.21937,149.06947
MOBILE SPEED CAMERA,0106D,-35.21365,149.0727
MOBILE SPEED CAMERA,0107A,-35.23854,149.03753
MOBILE SPEED CAMERA,0108A,-35.22679,149.00589
MOBILE SPEED CAMERA,0108B,-35.22316,149.00546
MOBILE SPEED CAMERA,0108C,-35.22013,149.00703
MOBILE SPEED CAMERA,0109A,-35.20356,149.02325
MOBILE SPEED CAMERA,0109B,-35.20152,149.02059
MOBILE SPEED CAMERA,0109C,-35.19786,149.01511
MOBILE SPEED CAMERA,0110A,-35.20348,149.01665
MOBILE SPEED CAMERA,0111A,-35.2725,149.14154
MOBILE SPEED CAMERA,0111B,-35.26897,149.13949
MOBILE SPEED CAMERA,0111C,-35.26754,149.13846
MOBILE SPEED CAMERA,0111D,-35.26403,149.13664
MOBILE SPEED CAMERA,0111E,-35.26368,149.13671
MOBILE SPEED CAMERA,0111F,-35.26757,149.13898
MOBILE SPEED CAMERA,0111G,-35.27136,149.14136
MOBILE SPEED CAMERA,0112A,-35.20669,149.06827
MOBILE SPEED CAMERA,0112B,-35.20753,149.06652
MOBILE SPEED CAMERA,0112C,-35.21419,149.05814
MOBILE SPEED CAMERA,0112D,-35.20785,149.06516
MOBILE SPEED CAMERA,0112E,-35.21872,149.05411
MOBILE SPEED CAMERA,0113A,-35.42,149.07153
MOBILE SPEED CAMERA,0113B,-35.4225,149.07298
MOBILE SPEED CAMERA,0114A,-35.32959,149.08853
MOBILE SPEED CAMERA,0115A,-35.40978,149.13481
MOBILE SPEED CAMERA,0115B,-35.41461,149.11797
MOBILE SPEED CAMERA,0115C,-35.41946,149.10975
MOBILE SPEED CAMERA,0115D,-35.42155,149.09648
MOBILE SPEED CAMERA,0115E,-35.42304,149.0834
MOBILE SPEED CAMERA,0115F,-35.42277,149.08225
MOBILE SPEED CAMERA,0115G,-35.42151,149.0955
MOBILE SPEED CAMERA,0115H,-35.42112,149.09974
MOBILE SPEED CAMERA,0115I,-35.42005,149.10769
MOBILE SPEED CAMERA,0115J,-35.41297,149.1216
MOBILE SPEED CAMERA,0115K,-35.41223,149.12676
MOBILE SPEED CAMERA,0115L,-35.40907,149.13513
MOBILE SPEED CAMERA,0115M,-35.40666,149.13892
MOBILE SPEED CAMERA,0116A,-35.41128,149.10281
MOBILE SPEED CAMERA,0116B,-35.41827,149.10241
MOBILE SPEED CAMERA,0116C,-35.41527,149.10204
MOBILE SPEED CAMERA,0116D,-35.4125,149.10265
MOBILE SPEED CAMERA,0116E,-35.42675,149.10343
MOBILE SPEED CAMERA,0116F,-35.43014,149.10525
MOBILE SPEED CAMERA,0117A,-35.43855,149.12356
MOBILE SPEED CAMERA,0117B,-35.44334,149.09827
MOBILE SPEED CAMERA,0118A,-35.447386,149.092597
MOBILE SPEED CAMERA,0118B,-35.46095,149.0912
MOBILE SPEED CAMERA,0118C,-35.46666,149.09104
MOBILE SPEED CAMERA,0118D,-35.47049,149.09092
MOBILE SPEED CAMERA,0118E,-35.46668,149.0908
MOBILE SPEED CAMERA,0118F,-35.46147,149.09094
MOBILE SPEED CAMERA,0118G,-35.44793,149.09219
MOBILE SPEED CAMERA,0119A,-35.21194,149.17588
MOBILE SPEED CAMERA,0119B,-35.20687,149.17039
MOBILE SPEED CAMERA,0119C,-35.19961,149.16444
MOBILE SPEED CAMERA,0119D,-35.18217,149.14868
MOBILE SPEED CAMERA,0119E,-35.17682,149.14006
MOBILE SPEED CAMERA,0119F,-35.1739,149.13955
MOBILE SPEED CAMERA,0119G,-35.1819,149.14841
MOBILE SPEED CAMERA,0119H,-35.18298,149.15248
MOBILE SPEED CAMERA,0119I,-35.18994,149.16022
MOBILE SPEED CAMERA,0119J,-35.20151,149.16713
MOBILE SPEED CAMERA,0119K,-35.168357,149.138578
MOBILE SPEED CAMERA,0119L,-35.161859,149.127902
MOBILE SPEED CAMERA,0119M,-35.153193,149.111042
MOBILE SPEED CAMERA,0119N,-35.155731,149.105571
MOBILE SPEED CAMERA,0119O,-35.164417,149.101484
MOBILE SPEED CAMERA,0119P,-35.162431,149.101816
MOBILE SPEED CAMERA,0120A,-35.35774,149.05355
MOBILE SPEED CAMERA,0120B,-35.36205,149.05662
MOBILE SPEED CAMERA,0120C,-35.36276,149.05785
MOBILE SPEED CAMERA,0120D,-35.35773,149.05333
MOBILE SPEED CAMERA,0121A,-35.26635,149.11925
MOBILE SPEED CAMERA,0121C,-35.26689,149.11768
MOBILE SPEED CAMERA,0122B,-35.25208,149.10008
MOBILE SPEED CAMERA,0122C,-35.243959,149.110638
MOBILE SPEED CAMERA,0122D,-35.25552,149.09204
MOBILE SPEED CAMERA,0122G,-35.24209,149.1107
MOBILE SPEED CAMERA,0123A,-35.23059,149.01133
MOBILE SPEED CAMERA,0123B,-35.23342,149.02041
MOBILE SPEED CAMERA,0123C,-35.23571,149.02298
MOBILE SPEED CAMERA,0123D,-35.23721,149.02383
MOBILE SPEED CAMERA,0123E,-35.23145,149.01344
MOBILE SPEED CAMERA,0124A,-35.22397,149.01666
MOBILE SPEED CAMERA,0124B,-35.22099,149.01742
MOBILE SPEED CAMERA,0124C,-35.22181,149.01722
MOBILE SPEED CAMERA,0125A,-35.22995,149.03259
MOBILE SPEED CAMERA,0125B,-35.23035,149.03087
MOBILE SPEED CAMERA,0126A,-35.25576,149.05887
MOBILE SPEED CAMERA,0126B,-35.25617,149.06679
MOBILE SPEED CAMERA,0126C,-35.25589,149.06429
MOBILE SPEED CAMERA,0127A,-35.26342,149.14692
MOBILE SPEED CAMERA,0127B,-35.26106,149.14732
MOBILE SPEED CAMERA,0128A,-35.2573,149.14878
MOBILE SPEED CAMERA,0128B,-35.25506,149.15262
MOBILE SPEED CAMERA,0128C,-35.257796,149.148477
MOBILE SPEED CAMERA,0129A,-35.31113,149.16945
MOBILE SPEED CAMERA,0129B,-35.3137,149.16951
MOBILE SPEED CAMERA,0129C,-35.31405,149.16923
MOBILE SPEED CAMERA,0129D,-35.31116,149.16915
MOBILE SPEED CAMERA,0130A,-35.23493,149.04549
MOBILE SPEED CAMERA,0130B,-35.23469,149.04606
MOBILE SPEED CAMERA,0131A,-35.23572,149.05081
MOBILE SPEED CAMERA,0132A,-35.3159,149.13118
MOBILE SPEED CAMERA,0132B,-35.32024,149.13865
MOBILE SPEED CAMERA,0132C,-35.32111,149.14209
MOBILE SPEED CAMERA,0132D,-35.32205,149.1457
MOBILE SPEED CAMERA,0133A,-35.33261,149.16536
MOBILE SPEED CAMERA,0133B,-35.33475,149.16991
MOBILE SPEED CAMERA,0134A,-35.32241,149.14665
MOBILE SPEED CAMERA,0135A,-35.336779,149.058735
MOBILE SPEED CAMERA,0135B,-35.33677,149.05536
MOBILE SPEED CAMERA,0136A,-35.34377,149.06134
MOBILE SPEED CAMERA,0136B,-35.34303,149.05884
MOBILE SPEED CAMERA,0137A,-35.33864,149.10264
MOBILE SPEED CAMERA,0138A,-35.32454,149.0967
MOBILE SPEED CAMERA,0138B,-35.32194,149.09801
MOBILE SPEED CAMERA,0139A,-35.32786,149.13599
MOBILE SPEED CAMERA,0139B,-35.33037,149.13784
MOBILE SPEED CAMERA,0139C,-35.33321,149.14175
MOBILE SPEED CAMERA,0139D,-35.33458,149.14572
MOBILE SPEED CAMERA,0139E,-35.32888,149.13625
MOBILE SPEED CAMERA,0139F,-35.32428,149.13466
MOBILE SPEED CAMERA,0140A,-35.33294,149.15751
MOBILE SPEED CAMERA,0140B,-35.3331,149.15735
MOBILE SPEED CAMERA,0140C,-35.33174,149.15297
MOBILE SPEED CAMERA,0141A,-35.32644,149.14893
MOBILE SPEED CAMERA,0141B,-35.32921,149.1483
MOBILE SPEED CAMERA,0141C,-35.32976,149.14838
MOBILE SPEED CAMERA,0141D,-35.33217,149.14782
MOBILE SPEED CAMERA,0142A,-35.31536,149.24398
MOBILE SPEED CAMERA,0142B,-35.31111,149.24746
MOBILE SPEED CAMERA,0142C,-35.30373,149.25141
MOBILE SPEED CAMERA,0142D,-35.29477,149.25518
MOBILE SPEED CAMERA,0142E,-35.27512,149.25893
MOBILE SPEED CAMERA,0142F,-35.27295,149.25982
MOBILE SPEED CAMERA,0142G,-35.31139,149.24752
MOBILE SPEED CAMERA,0142H,-35.32021,149.24315
MOBILE SPEED CAMERA,0143A,-35.39096,149.05003
MOBILE SPEED CAMERA,0144A,-35.39014,149.05303
MOBILE SPEED CAMERA,0144B,-35.38949,149.05605
MOBILE SPEED CAMERA,0144C,-35.38997,149.05492
MOBILE SPEED CAMERA,0144D,-35.38846,149.05091
MOBILE SPEED CAMERA,0145A,-35.38362,149.0638
MOBILE SPEED CAMERA,0145B,-35.3904,149.07277
MOBILE SPEED CAMERA,0146A,-35.35598,149.03505
MOBILE SPEED CAMERA,0146B,-35.35658,149.03845
MOBILE SPEED CAMERA,0146C,-35.35598,149.03483
MOBILE SPEED CAMERA,0147A,-35.32807,149.02632
MOBILE SPEED CAMERA,0147B,-35.33494,149.02673
MOBILE SPEED CAMERA,0147C,-35.34044,149.02803
MOBILE SPEED CAMERA,0148A,-35.4723,149.10119
MOBILE SPEED CAMERA,0148B,-35.47159,149.10084
MOBILE SPEED CAMERA,0148C,-35.4708,149.0999
MOBILE SPEED CAMERA,0149A,-35.47114,149.10344
MOBILE SPEED CAMERA,0149B,-35.46911,149.10456
MOBILE SPEED CAMERA,0149C,-35.47087,149.10388
MOBILE SPEED CAMERA,0150A,-35.4749,149.09727
MOBILE SPEED CAMERA,0150B,-35.47426,149.10163
MOBILE SPEED CAMERA,0151A,-35.35084,149.15257
MOBILE SPEED CAMERA,0151B,-35.35206,149.14105
MOBILE SPEED CAMERA,0151C,-35.3513,149.15134
MOBILE SPEED CAMERA,0152A,-35.33918,149.03903
MOBILE SPEED CAMERA,0152B,-35.33625,149.03723
MOBILE SPEED CAMERA,0152C,-35.32986,149.04218
MOBILE SPEED CAMERA,0152D,-35.3295,149.04562
MOBILE SPEED CAMERA,0153A,-35.33058,149.03504
MOBILE SPEED CAMERA,0153B,-35.3309,149.0314
MOBILE SPEED CAMERA,0153C,-35.33053,149.03384
MOBILE SPEED CAMERA,0153D,-35.33035,149.03597
MOBILE SPEED CAMERA,0154A,-35.41678,149.09937
MOBILE SPEED CAMERA,0154A_2,-35.41673,149.0994
MOBILE SPEED CAMERA,0155A,-35.41749,149.08014
MOBILE SPEED CAMERA,0155B,-35.4172,149.07982
MOBILE SPEED CAMERA,0156A,-35.35086,149.04208
MOBILE SPEED CAMERA,0156B,-35.34919,149.04307
MOBILE SPEED CAMERA,0156C,-35.33746,149.05137
MOBILE SPEED CAMERA,0156D,-35.33711,149.05166
MOBILE SPEED CAMERA,0156E,-35.33226,149.05408
MOBILE SPEED CAMERA,0156E,-35.33195,149.05393
MOBILE SPEED CAMERA,0156F,-35.3399,149.05101
MOBILE SPEED CAMERA,0156G,-35.3469,149.04571
MOBILE SPEED CAMERA,0156H,-35.34797,149.04457
MOBILE SPEED CAMERA,0156I,-35.34929,149.04321
MOBILE SPEED CAMERA,0156J,-35.35174,149.04197
MOBILE SPEED CAMERA,0157A,-35.46142,149.10369
MOBILE SPEED CAMERA,0157B,-35.3486,149.04392
MOBILE SPEED CAMERA,0157B,-35.46397,149.10632
MOBILE SPEED CAMERA,0157C,-35.46597,149.10589
MOBILE SPEED CAMERA,0157D,-35.46722,149.10327
MOBILE SPEED CAMERA,0158A,-35.45042,149.08297
MOBILE SPEED CAMERA,0158B,-35.44887,149.07978
MOBILE SPEED CAMERA,0158B,-35.44779,149.07923
MOBILE SPEED CAMERA,0158C,-35.44439,149.08074
MOBILE SPEED CAMERA,0159A,-35.3229,149.12515
MOBILE SPEED CAMERA,0159B,-35.32121,149.12196
MOBILE SPEED CAMERA,0159C,-35.31959,149.12164
MOBILE SPEED CAMERA,0159D,-35.31763,149.12304
MOBILE SPEED CAMERA,0160A,-35.30453,149.12707
MOBILE SPEED CAMERA,0160B,-35.30787,149.12973
MOBILE SPEED CAMERA,0160C,-35.30987,149.1292
MOBILE SPEED CAMERA,0160D,-35.31078,149.1204
MOBILE SPEED CAMERA,0160E,-35.30582,149.12013
MOBILE SPEED CAMERA,0161A,-35.33562,149.0814
MOBILE SPEED CAMERA,0162A,-35.32688,149.07548
MOBILE SPEED CAMERA,0162B,-35.32441,149.07561
MOBILE SPEED CAMERA,0162C,-35.32345,149.07742
MOBILE SPEED CAMERA,0162D,-35.32577,149.08543
MOBILE SPEED CAMERA,0162E,-35.32692,149.09093
MOBILE SPEED CAMERA,0163A,-35.34326,149.10896
MOBILE SPEED CAMERA,0164A,-35.43211,149.07626
MOBILE SPEED CAMERA,0164B,-35.42999,149.07445
MOBILE SPEED CAMERA,0164C,-35.42908,149.07451
MOBILE SPEED CAMERA,0164D,-35.42816,149.07471
MOBILE SPEED CAMERA,0164E,-35.43167,149.07576
MOBILE SPEED CAMERA,0165A,-35.42718,149.0991
MOBILE SPEED CAMERA,0166A,-35.37195,149.09732
MOBILE SPEED CAMERA,0166B,-35.36584,149.08982
MOBILE SPEED CAMERA,0166B,-35.36509,149.0895
MOBILE SPEED CAMERA,0166C,-35.372,149.08604
MOBILE SPEED CAMERA,0166D,-35.37044,149.1022
MOBILE SPEED CAMERA,0166E,-35.369965,149.10353
MOBILE SPEED CAMERA,0167A,-35.36273,149.08217
MOBILE SPEED CAMERA,0167B,-35.36081,149.08434
MOBILE SPEED CAMERA,0168A,-35.28609,149.15099
MOBILE SPEED CAMERA,0168B,-35.29164,149.15039
MOBILE SPEED CAMERA,0168C,-35.28634,149.15115
MOBILE SPEED CAMERA,0169A,-35.28723,149.16128
MOBILE SPEED CAMERA,0170A,-35.31653,149.13962
MOBILE SPEED CAMERA,0170B,-35.31744,149.13879
MOBILE SPEED CAMERA,0170C,-35.31818,149.13796
MOBILE SPEED CAMERA,0171A,-35.3134136,149.1437952
MOBILE SPEED CAMERA,0171B,-35.3158,149.14523
MOBILE SPEED CAMERA,0171C,-35.31735,149.14614
MOBILE SPEED CAMERA,0171D,-35.31873,149.14694
MOBILE SPEED CAMERA,0171E,-35.32109,149.14832
MOBILE SPEED CAMERA,0171F,-35.31733,149.14585
MOBILE SPEED CAMERA,0171G,-35.31624,149.14524
MOBILE SPEED CAMERA,0171H,-35.31202,149.14274
MOBILE SPEED CAMERA,0172A,-35.44987,149.12188
MOBILE SPEED CAMERA,0172B,-35.44584,149.1188
MOBILE SPEED CAMERA,0172C,-35.44389,149.12244
MOBILE SPEED CAMERA,0173A,-35.33249,149.22946
MOBILE SPEED CAMERA,0174A,-35.31705,149.10211
MOBILE SPEED CAMERA,0174B,-35.31703,149.10146
MOBILE SPEED CAMERA,0174C,-35.31639,149.10395
MOBILE SPEED CAMERA,0175A,-35.40304,149.09143
MOBILE SPEED CAMERA,0175B,-35.40105,149.09489
MOBILE SPEED CAMERA,0175C,-35.40147,149.09867
MOBILE SPEED CAMERA,0175D,-35.40196,149.10046
MOBILE SPEED CAMERA,0175E,-35.40249,149.09273
MOBILE SPEED CAMERA,0175F,-35.40372,149.09004
MOBILE SPEED CAMERA,0176A,-35.36184,149.094
MOBILE SPEED CAMERA,0176B,-35.36042,149.0938
MOBILE SPEED CAMERA,0176C,-35.35833,149.09387
MOBILE SPEED CAMERA,0177B,-35.24761,149.16331
MOBILE SPEED CAMERA,0178A,-35.22296,149.1441
MOBILE SPEED CAMERA,0178B,-35.21693,149.14534
MOBILE SPEED CAMERA,0178C,-35.212,149.14674
MOBILE SPEED CAMERA,0178D,-35.20343,149.14849
MOBILE SPEED CAMERA,0178E,-35.19881,149.14973
MOBILE SPEED CAMERA,0178F,-35.19177,149.15128
MOBILE SPEED CAMERA,0178G,-35.18755,149.14593
MOBILE SPEED CAMERA,0178H,-35.18741,149.14624
MOBILE SPEED CAMERA,0178I,-35.19575,149.15046
MOBILE SPEED CAMERA,0178J,-35.20377,149.14863
MOBILE SPEED CAMERA,0178K,-35.21377,149.14672
MOBILE SPEED CAMERA,0178L,-35.22397,149.14417
MOBILE SPEED CAMERA,0179A,-35.22198,149.07237
MOBILE SPEED CAMERA,0179B,-35.22012,149.07165
MOBILE SPEED CAMERA,0180A,-35.1993,149.04772
MOBILE SPEED CAMERA,0180B,-35.20182,149.04982
MOBILE SPEED CAMERA,0180C,-35.19942,149.045671
MOBILE SPEED CAMERA,0181A,-35.25182,149.15251
MOBILE SPEED CAMERA,0181B,-35.25589,149.14322
MOBILE SPEED CAMERA,0181C,-35.25793,149.13856
MOBILE SPEED CAMERA,0181D,-35.25851,149.13704
MOBILE SPEED CAMERA,0181E,-35.2562,149.14212
MOBILE SPEED CAMERA,0181F,-35.2524,149.1508
MOBILE SPEED CAMERA,0182A,-35.43552,149.10607
MOBILE SPEED CAMERA,0182B,-35.43553,149.10804
MOBILE SPEED CAMERA,0182C,-35.43617,149.10234
MOBILE SPEED CAMERA,0182D,-35.43574,149.09911
MOBILE SPEED CAMERA,0183A,-35.40925,149.12298
MOBILE SPEED CAMERA,0183B,-35.40908,149.12826
MOBILE SPEED CAMERA,0183C,-35.409051,149.126379
MOBILE SPEED CAMERA,0184A,-35.31212,149.13914
MOBILE SPEED CAMERA,0184B,-35.31572,149.13779
MOBILE SPEED CAMERA,0185A,-35.30937,149.13618
MOBILE SPEED CAMERA,0185B,-35.3097,149.1373
MOBILE SPEED CAMERA,0185C,-35.30938,149.13446
MOBILE SPEED CAMERA,0186A,-35.42308,149.06763
MOBILE SPEED CAMERA,0186B,-35.42258,149.06757
MOBILE SPEED CAMERA,0186C,-35.41806,149.06412
MOBILE SPEED CAMERA,0186D,-35.41423,149.06174
MOBILE SPEED CAMERA,0186E,-35.41737,149.06366
MOBILE SPEED CAMERA,0186F,-35.42254,149.06776
MOBILE SPEED CAMERA,0187A,-35.32081,149.19503
MOBILE SPEED CAMERA,0187B,-35.31995,149.20775
MOBILE SPEED CAMERA,0187C,-35.32488,149.22152
MOBILE SPEED CAMERA,0188A,-35.43245,149.10354
MOBILE SPEED CAMERA,0188B,-35.43337,149.10916
MOBILE SPEED CAMERA,0188C,-35.43319,149.11505
MOBILE SPEED CAMERA,0188D,-35.43508,149.12182
MOBILE SPEED CAMERA,0189A,-35.43966,149.10318
MOBILE SPEED CAMERA,0190A,-35.43963,149.0984
MOBILE SPEED CAMERA,0191A,-35.32014,149.08146
MOBILE SPEED CAMERA,0192A,-35.32132,149.07186
MOBILE SPEED CAMERA,0192B,-35.31892,149.07166
MOBILE SPEED CAMERA,0192C,-35.31849,149.07899
MOBILE SPEED CAMERA,0193A,-35.3208,149.075
MOBILE SPEED CAMERA,0194A,-35.3236,149.07102
MOBILE SPEED CAMERA,0194A,-35.32456,149.07154
MOBILE SPEED CAMERA,0195A,-35.32938,149.0734
MOBILE SPEED CAMERA,0195B,-35.33064,149.07493
MOBILE SPEED CAMERA,0196A,-35.1858,149.14911
MOBILE SPEED CAMERA,0196B,-35.18514,149.14414
MOBILE SPEED CAMERA,0196C,-35.18334,149.13377
MOBILE SPEED CAMERA,0196D,-35.18278,149.13012
MOBILE SPEED CAMERA,0196E,-35.18359,149.13647
MOBILE SPEED CAMERA,0196F,-35.1854,149.14814
MOBILE SPEED CAMERA,0196G,-35.18607,149.15205
MOBILE SPEED CAMERA,0197A,-35.1757,149.12218
MOBILE SPEED CAMERA,0197B,-35.17229,149.11779
MOBILE SPEED CAMERA,0197C,-35.17897,149.12579
MOBILE SPEED CAMERA,0198A,-35.24255,149.08033
MOBILE SPEED CAMERA,0198B,-35.24232,149.0781
MOBILE SPEED CAMERA,0199A,-35.23344,149.06246
MOBILE SPEED CAMERA,0200A,-35.21979,149.09824
MOBILE SPEED CAMERA,0200B,-35.22638,149.09996
MOBILE SPEED CAMERA,02010C,-35.25795,149.0641
MOBILE SPEED CAMERA,02010D,-35.2612,149.06567
MOBILE SPEED CAMERA,0201A,-35.21841,149.08097
MOBILE SPEED CAMERA,0201B,-35.20431,149.08991
MOBILE SPEED CAMERA,0201C,-35.22323,149.07822
MOBILE SPEED CAMERA,0202A,-35.28602,149.14435
MOBILE SPEED CAMERA,0202B,-35.28627,149.14368
MOBILE SPEED CAMERA,0203A,-35.29314,149.14741
MOBILE SPEED CAMERA,0204A,-35.30837,149.12822
MOBILE SPEED CAMERA,0205A,-35.29963,149.13206
MOBILE SPEED CAMERA,0206A,-35.25987,149.12538
MOBILE SPEED CAMERA,0206B,-35.25943,149.12013
MOBILE SPEED CAMERA,0206C,-35.25896,149.11692
MOBILE SPEED CAMERA,0206D,-35.25929,149.12022
MOBILE SPEED CAMERA,0207A,-35.25921,149.11369
MOBILE SPEED CAMERA,0207B,-35.25889,149.11404
MOBILE SPEED CAMERA,0208A,-35.25045,149.11941
MOBILE SPEED CAMERA,0208B,-35.25507,149.1158
MOBILE SPEED CAMERA,0208C,-35.26149,149.11501
MOBILE SPEED CAMERA,0209A,-35.25938,149.07555
MOBILE SPEED CAMERA,0209B,-35.25845,149.0832
MOBILE SPEED CAMERA,0210A,-35.2611,149.07037
MOBILE SPEED CAMERA,0210B,-35.26003,149.06443
MOBILE SPEED CAMERA,0210C,-35.25806,149.06407
MOBILE SPEED CAMERA,0210D,-35.2612,149.06567
MOBILE SPEED CAMERA,0211A,-35.24895,149.06172
MOBILE SPEED CAMERA,0211B,-35.24772,149.0602
MOBILE SPEED CAMERA,0211C,-35.25153,149.0637
MOBILE SPEED CAMERA,0212A,-35.25367,149.06068
MOBILE SPEED CAMERA,0213A,-35.21523,149.00988
MOBILE SPEED CAMERA,0213B,-35.20983,149.01427
MOBILE SPEED CAMERA,0213C,-35.2154,149.01548
MOBILE SPEED CAMERA,0214A,-35.21613,148.99232
