CRASH_DATE	SEVERITY	CRASH_TYPE	CYCLISTS	CYCLIST_CASUALTIES	REPORTED_LOCATION	LATITUDE	LONGITUDE
15-Jan-15	Property Damage Only	Right angle collision	1	0	ANTILL/ TAY INTERSECTION	-35.226202	149.165861
26-Nov-16	Property Damage Only	Other - Vehicle to Vehicle	1	0	ANTILL/BADHAM INTERSECTION	-35.248637	149.13792
11-Jul-12	Injury	Right angle collision	1	1	ANTILL/CADELL INTERSECTION	-35.247791	149.151218
10-Sep-12	Injury	Other -  Single Vehicle (On Road)	1	1	ANTILL/FEDERAL INTERSECTION	-35.224721	149.165194
5-Jan-16	Property Damage Only	Right turn into oncoming vehicle	1	0	ANTILL/HAWDON INTERSECTION	-35.248531	149.146208
9-Feb-13	Injury	Right angle collision	1	1	ANTILL/MADIGAN INTERSECTION	-35.244301	149.159496
6-Oct-13	Property Damage Only	Right angle collision	1	0	ANTILL/MELBA INTERSECTION	-35.248706	149.142205
28-May-16	Property Damage Only	Right angle collision	1	0	ANTILL/MELBA INTERSECTION	-35.248793	149.142361
17-Mar-13	Property Damage Only	Right angle collision	1	0	ANTILL/MOUAT/NORTHBOURNE INTERSECTION	-35.24828	149.134301
25-Oct-13	Injury	Right angle collision	1	1	ANTILL/MOUAT/NORTHBOURNE INTERSECTION	-35.248265	149.134115
23-Jun-16	Injury	Right angle collision	1	1	ANTILL/MOUAT/NORTHBOURNE INTERSECTION	-35.248345	149.134102
12-Jun-17	Injury	Other - Vehicle to Vehicle	1	1	ANTILL/MOUAT/NORTHBOURNE INTERSECTION	-35.248265	149.134115
30-Jun-12	Property Damage Only	Same direction side swipe	1	0	ANTILL/PHILLIP INTERSECTION	-35.24698	149.154427
9-Jun-17	Injury	Same direction side swipe	1	1	ANTILL/PHILLIP INTERSECTION	-35.246996	149.154084
24-Aug-15	Property Damage Only	Rear end collision	1	0	ANTILL/PIGOT INTERSECTION	-35.2485	149.136666
9-Sep-13	Injury	Right turn into oncoming vehicle	1	1	ANTILL/ROSEVEAR INTERSECTION	-35.24873	149.143757
6-Feb-13	Injury	Same direction side swipe	1	1	ANZAC/BLAMEY/CURRONG INTERSECTION	-35.285062	149.145103
31-May-16	Injury	Right angle collision	1	1	ANZAC/CONSTITUTION INTERSECTION	-35.289262	149.141125
5-May-16	Injury	Right angle collision	1	1	ANZAC/FAIRBAIRN/LIMESTONE INTERSECTION	-35.282333	149.147232
24-Oct-15	Property Damage Only	Right angle collision	1	0	ARTHUR/MONARO/TASMANIA INTERSECTION	-35.322573	149.126714
24-Mar-15	Property Damage Only	Right angle collision	1	0	ARTHUR/MORESBY INTERSECTION	-35.322205	149.122997
8-Nov-13	Injury	Right turn into oncoming vehicle	1	1	ASHLEY/STERNBERG INTERSECTION	-35.402068	149.101937
13-Jun-13	Property Damage Only	Right angle collision	1	0	ASPINALL/KNOX/STIRLING INTERSECTION	-35.231887	149.153766
19-Sep-16	Property Damage Only	Other - Vehicle to Vehicle	1	0	ATHLLON DRIVE (DRAKEFORD/ISABELLA -> ANKETELL)	-35.424047	149.077649
8-Mar-16	Injury	Struck object  (On Road)	1	1	ATHLLON DRIVE (PINE ISLAND/SCOLLAY -> ROWLAND REES)	-35.424718	149.069733
10-Feb-12	Injury	Right angle collision	1	1	ATHLLON/BEASLEY (SW) INTERSECTION	-35.371915	149.092895
1-Jan-14	Property Damage Only	Other - Vehicle to Vehicle	1	0	ATHLLON/BEASLEY (SW) INTERSECTION	-35.371915	149.092895
21-May-15	Injury	Other - Vehicle to Vehicle	1	1	ATHLLON/BEASLEY (SW) INTERSECTION	-35.371915	149.092895
22-May-13	Property Damage Only	Other - Vehicle to Vehicle	1	0	ATHLLON/BEASLEY/MAWSON INTERSECTION	-35.364366	149.092511
11-Sep-15	Injury	Other - Vehicle to Vehicle	1	1	ATHLLON/BEASLEY/MAWSON INTERSECTION	-35.364392	149.092612
14-Mar-12	Property Damage Only	Other - Vehicle to Vehicle	1	0	ATHLLON/DRAKEFORD INTERSECTION	-35.396368	149.072103
29-Apr-14	Injury	Right angle collision	1	1	ATHLLON/DRAKEFORD/ISABELLA INTERSECTION	-35.424077	149.078527
7-May-13	Injury	Same direction side swipe	1	1	ATHLLON/DRAKEFORD/ISABELLA INTERSECTION	-35.424072	149.078523
26-May-15	Property Damage Only	Right angle collision	1	0	ATHLLON/DRAKEFORD/ISABELLA INTERSECTION	-35.423957	149.07791
24-May-17	Property Damage Only	Right angle collision	1	0	ATHLLON/DRAKEFORD/ISABELLA INTERSECTION	-35.423936	149.077972
29-Jun-16	Injury	Right turn into oncoming vehicle	1	1	ATHLLON/FINCHAM INTERSECTION	-35.393729	149.077339
10-Dec-16	Injury	Right turn into oncoming vehicle	1	1	ATHLLON/FINCHAM INTERSECTION	-35.393729	149.077339
11-Jan-12	Injury	Right angle collision	1	1	ATHLLON/FLORENCE TAYLOR (SW) INTERSECTION	-35.405038	149.06461
25-Mar-13	Injury	Right angle collision	1	1	ATHLLON/LEARMONTH INTERSECTION	-35.403246	149.064776
14-Jul-12	Injury	Right angle collision	1	1	ATHLLON/MELROSE INTERSECTION	-35.357062	149.091613
22-Feb-13	Property Damage Only	Other - Vehicle to Vehicle	1	0	ATHLLON/MELROSE INTERSECTION	-35.357237	149.091539
10-May-16	Property Damage Only	Right angle collision	1	0	ATHLLON/REED INTERSECTION	-35.419032	149.064864
13-May-15	Property Damage Only	Other - Vehicle to Vehicle	1	0	ATHLLON/SULWOOD INTERSECTION	-35.384625	149.093031
30-Jul-14	Property Damage Only	Other - Vehicle to Vehicle	1	0	ATHLLON/SULWOOD INTERSECTION	-35.384319	149.093074
26-Jul-16	Property Damage Only	Other - Vehicle to Vehicle	1	0	ATHLLON/SULWOOD INTERSECTION	-35.384207	149.092808
22-May-14	Injury	Right angle collision	1	1	ATKINS/LIVINGSTON INTERSECTION	-35.387599	149.08546
1-May-12	Injury	Right angle collision	1	1	AUSTIN/BARRALLIER/CAPTAIN COOK INTERSECTION	-35.32655	149.135133
15-May-12	Property Damage Only	Right angle collision	1	0	AUSTIN/BARRALLIER/CAPTAIN COOK INTERSECTION	-35.32655	149.135134
10-Apr-12	Property Damage Only	Other - Vehicle to Vehicle	1	0	BADHAM STREET (WOOLLEY -> DICKSON)	-35.250038	149.137849
6-May-15	Property Damage Only	Other - Vehicle to Vehicle	1	0	BADIMARA STREET (KALGOORLIE -> NEMARANG)	-35.358837	149.064567
14-Mar-16	Injury	Other -  Single Vehicle (On Road)	1	1	BAILEY/NOVAR (SW) INTERSECTION	-35.301612	149.098193
15-Apr-15	Injury	Rear end collision	3	3	BALDWIN DRIVE (GUM -> GUM ACCESS DRIVEWAY)	-35.217002	149.092243
15-Jan-12	Property Damage Only	Right angle collision	1	0	BALDWIN/GINNINDERRA/HAYDON INTERSECTION	-35.23469	149.091945
9-May-13	Injury	Other -  Single Vehicle (On Road)	1	1	BALDWIN/GINNINDERRA/HAYDON INTERSECTION	-35.234928	149.09186
25-May-17	Property Damage Only	Right turn into oncoming vehicle	1	0	BALMAIN/LIVERSIDGE INTERSECTION	-35.284622	149.11911
22-Feb-15	Property Damage Only	Same direction side swipe	1	0	BANDJALONG/BARADA (SW) INTERSECTION	-35.260253	149.075537
16-Jun-16	Injury	Other - Vehicle to Vehicle	1	0	BANDJALONG/BINDUBI/LYTTLETON INTERSECTION	-35.260864	149.073611
29-Apr-13	Property Damage Only	Right angle collision	1	0	BANGALAY/HINDMARSH INTERSECTION	-35.34233	149.0394
4-Apr-17	Injury	Right angle collision	1	1	BARR SMITH/DRAKEFORD INTERSECTION	-35.427831	149.083898
29-Feb-16	Property Damage Only	Other - Vehicle to Vehicle	1	0	BARR SMITH/SALAS INTERSECTION	-35.426508	149.073715
26-Jul-12	Injury	Right angle collision	1	1	BARRALLIER/CANBERRA/CUNNINGHAM INTERSECTION	-35.321577	149.142979
24-Apr-14	Property Damage Only	Same direction side swipe	1	0	BARRIER/NEWCASTLE INTERSECTION	-35.33095	149.178096
24-Feb-16	Injury	Other - Vehicle to Vehicle	1	1	BARRINE DRIVE (ALBERT st -> COMMONWEALTH AV)	-35.29091	149.12657
20-Mar-14	Injury	Same direction side swipe	2	1	BARRINE DRIVE (ALBERT ST -> COMMONWEALTH AV)	-35.29156	149.127598
10-Sep-13	Property Damage Only	Right angle collision	1	0	BARRITT/BODDINGTON INTERSECTION	-35.380683	149.05235
28-Feb-13	Injury	Right angle collision	1	1	BARRITT/BODDINGTON INTERSECTION	-35.380704	149.052377
27-Aug-14	Injury	Other - Vehicle to Vehicle	1	1	BARRY DRIVE (BARRNDRYASRM -> CLUNIES ROSS/FROGGATT)	-35.271083	149.11468
18-Jun-15	Injury	Struck pedestrian (On Road)	1	1	BARRY DRIVE (CLUNIES ROSS/FROGGATT -> BOLDREWOOD)	-35.272894	149.119504
22-Aug-16	Injury	Overturned (On Road)	1	1	BARRY DRIVE (CLUNIES ROSS/FROGGATT -> BOLDREWOOD)	-35.272652	149.118149
16-Mar-12	Injury	Other - Vehicle to Vehicle	1	1	BARRY DRIVE (MCCAUGHEY/NORTH -> KINGSLEY)	-35.274965	149.124472
31-Aug-16	Property Damage Only	Other - Vehicle to Vehicle	1	0	BARRY DRIVE (MOORE -> COOYONG/NORTHBOURNE)	-35.275705	149.129049
12-May-15	Property Damage Only	Other - Vehicle to Vehicle	1	0	BARRY DRIVE (WATSON -> MARCUS CLARKE)	-35.275364	149.12591
2-Oct-14	Property Damage Only	Other - Vehicle to Vehicle	1	0	BARRY DRIVE (WATSON -> MARCUS CLARKE)	-35.275376	149.126015
4-Aug-15	Property Damage Only	Right turn into oncoming vehicle	1	0	BARRY/BOLDREWOOD INTERSECTION	-35.272921	149.120306
19-Nov-15	Injury	Right turn into oncoming vehicle	1	1	BARRY/BOLDREWOOD INTERSECTION	-35.27301	149.120268
11-Mar-16	Property Damage Only	Right turn into oncoming vehicle	1	0	BARRY/BOLDREWOOD INTERSECTION	-35.272939	149.120301
19-Feb-14	Injury	Other - Vehicle to Vehicle	1	1	BARRY/CLUNIES ROSS INTERSECTION	-35.27241	149.11732
17-Feb-16	Property Damage Only	Other - Vehicle to Vehicle	1	0	BARRY/CLUNIES ROSS INTERSECTION	-35.27241	149.11732
4-Jan-12	Property Damage Only	Other - Vehicle to Vehicle	1	0	BARRY/COOYONG/NORTHBOURNE INTERSECTION	-35.275784	149.129771
7-Jun-12	Property Damage Only	Rear end collision	1	0	BARRY/COOYONG/NORTHBOURNE INTERSECTION	-35.275784	149.129771
1-Sep-14	Property Damage Only	Right angle collision	1	0	BARRY/COOYONG/NORTHBOURNE INTERSECTION	-35.275784	149.129771
23-Mar-12	Property Damage Only	Same direction side swipe	1	0	BARRY/COOYONG/NORTHBOURNE INTERSECTION	-35.275753	149.129487
10-Sep-13	Injury	Other - Vehicle to Vehicle	1	1	BARRY/COOYONG/NORTHBOURNE INTERSECTION	-35.275632	149.129695
6-Nov-13	Injury	Same direction side swipe	1	1	BARRY/COOYONG/NORTHBOURNE INTERSECTION	-35.275762	149.129574
23-Jan-13	Property Damage Only	Same direction side swipe	1	0	BARRY/COOYONG/NORTHBOURNE INTERSECTION	-35.275762	149.129574
10-Sep-13	Property Damage Only	Right angle collision	1	0	BARRY/COOYONG/NORTHBOURNE INTERSECTION	-35.275692	149.129686
2-Apr-13	Property Damage Only	Rear end collision	1	0	BARRY/COOYONG/NORTHBOURNE INTERSECTION	-35.275784	149.129771
10-Feb-14	Property Damage Only	Same direction side swipe	1	0	BARRY/COOYONG/NORTHBOURNE INTERSECTION	-35.275854	149.12966
8-Dec-15	Property Damage Only	Same direction side swipe	1	0	BARRY/COOYONG/NORTHBOURNE INTERSECTION	-35.275762	149.129574
6-Apr-16	Property Damage Only	Same direction side swipe	1	0	BARRY/COOYONG/NORTHBOURNE INTERSECTION	-35.275762	149.129574
19-Mar-17	Property Damage Only	Other - Vehicle to Vehicle	1	0	BARRY/COOYONG/NORTHBOURNE INTERSECTION	-35.275692	149.129686
16-Jun-17	Property Damage Only	Other - Vehicle to Vehicle	1	0	BARRY/COOYONG/NORTHBOURNE INTERSECTION	-35.275796	149.129887
26-Apr-16	Injury	Other - Vehicle to Vehicle	1	1	BARRY/KINGSLEY INTERSECTION	-35.275273	149.125074
11-Feb-15	Injury	Other - Vehicle to Vehicle	1	1	BARRY/MARCUS CLARKE INTERSECTION	-35.275452	149.126717
14-Oct-14	Injury	Other - Vehicle to Vehicle	1	1	BARRY/MARCUS CLARKE INTERSECTION	-35.275459	149.126783
27-Apr-15	Property Damage Only	Other - Vehicle to Vehicle	1	0	BARRY/MARCUS CLARKE INTERSECTION	-35.275627	149.126773
1-Apr-16	Property Damage Only	Same direction side swipe	1	0	BARRY/MARCUS CLARKE INTERSECTION	-35.275461	149.1268
30-Jan-15	Property Damage Only	Right angle collision	1	0	BARRY/MCCAUGHEY/NORTH INTERSECTION	-35.273355	149.121958
20-Aug-13	Injury	Other - Vehicle to Vehicle	1	1	BARRY/MCCAUGHEY/NORTH INTERSECTION	-35.273501	149.121828
24-Sep-13	Injury	Same direction side swipe	1	1	BARRY/MCCAUGHEY/NORTH INTERSECTION	-35.273367	149.121947
26-Oct-15	Property Damage Only	Other - Vehicle to Vehicle	1	0	BARRY/MCCAUGHEY/NORTH INTERSECTION	-35.273346	149.121966
18-Jul-16	Property Damage Only	Other - Vehicle to Vehicle	1	0	BARRY/MCCAUGHEY/NORTH INTERSECTION	-35.273574	149.121763
18-Aug-12	Property Damage Only	Right angle collision	1	0	BARRY/MOORE INTERSECTION	-35.275611	149.128177
5-Jun-12	Injury	Same direction side swipe	1	1	BARRY/MOORE INTERSECTION	-35.275465	149.12832
10-Jun-13	Injury	Same direction side swipe	1	1	BARRY/MOORE INTERSECTION	-35.275634	149.128393
13-Nov-14	Property Damage Only	Right angle collision	1	0	BARRY/MOORE INTERSECTION	-35.275625	149.128313
22-Apr-16	Property Damage Only	Other - Vehicle to Vehicle	1	0	BARRY/MOORE INTERSECTION	-35.275739	149.128276
23-Jun-16	Injury	Right angle collision	1	1	BARRY/MOORE INTERSECTION	-35.275624	149.128295
13-Dec-16	Property Damage Only	Same direction side swipe	1	0	BARRY/MOORE INTERSECTION	-35.275575	149.128302
1-Aug-13	Property Damage Only	Right angle collision	1	0	BARRY/WATSON INTERSECTION	-35.275353	149.125803
7-Mar-16	Property Damage Only	Other - Vehicle to Vehicle	1	0	BARRY/WATSON INTERSECTION	-35.275179	149.125714
23-Aug-16	Property Damage Only	Right angle collision	1	0	BARRY/WATSON INTERSECTION	-35.275173	149.125715
4-Nov-14	Property Damage Only	Head on collision	2	0	BARTON HIGHWAY (BELLENDEN -> GUNDAROO/WILLIAM SLIM)	-35.202322	149.095997
12-Apr-15	Injury	Collision with parked vehicle	1	1	BARTON HIGHWAY (GOLD CREEK -> CURRAN)	-35.191782	149.082957
29-Nov-12	Injury	Collision with parked vehicle	1	1	BARTON HIGHWAY (RANDWICK -> ELLEWBARTNRM)	-35.23379	149.127614
30-Oct-12	Property Damage Only	Right angle collision	1	0	BARTON/GOLD CREEK INTERSECTION	-35.19419	149.086325
31-May-15	Property Damage Only	Right angle collision	1	0	BARTON/GOLD CREEK INTERSECTION	-35.19423	149.08628
2-Feb-15	Property Damage Only	Right turn into oncoming vehicle	1	0	BARTON/GOLD CREEK INTERSECTION	-35.194222	149.086288
15-Sep-14	Property Damage Only	Right angle collision	1	0	BARTON/GOLD CREEK INTERSECTION	-35.194228	149.086281
5-Nov-13	Injury	Right angle collision	1	1	BARTON/GUNDAROO/WILLIAM SLIM INTERSECTION	-35.201409	149.094825
16-Oct-13	Property Damage Only	Right angle collision	1	0	BARTON/GUNDAROO/WILLIAM SLIM INTERSECTION	-35.201575	149.094234
26-Feb-12	Injury	Right angle collision	1	1	BARTON/GUNDAROO/WILLIAM SLIM INTERSECTION	-35.201564	149.094289
16-Nov-14	Injury	Other - Vehicle to Vehicle	2	1	BARTON/GUNDAROO/WILLIAM SLIM INTERSECTION	-35.201382	149.09533
4-Feb-12	Injury	Overturned (On Road)	1	1	BASTOW CIRCUIT (BASTOW -> BASTOW)	-35.466553	149.093287
19-Jul-14	Property Damage Only	Other - Vehicle to Vehicle	1	0	BATMAN STREET (GOOREEN -> LIMESTONE/QUICK)	-35.275543	149.142221
15-Jun-16	Property Damage Only	Same direction side swipe	1	0	BATMAN/LIMESTONE/QUICK INTERSECTION	-35.275055	149.143474
15-Aug-14	Property Damage Only	Right angle collision	1	0	BATTYE/BRAYBROOKE/PURDIE INTERSECTION	-35.246963	149.097706
2-Feb-14	Property Damage Only	Right angle collision	1	0	BATTYE/BRAYBROOKE/PURDIE INTERSECTION	-35.247012	149.097795
10-Jun-14	Injury	Right angle collision	1	1	BATTYE/BRAYBROOKE/PURDIE INTERSECTION	-35.247004	149.09778
18-Mar-15	Injury	Right angle collision	1	1	BATTYE/BRAYBROOKE/PURDIE INTERSECTION	-35.247008	149.097787
18-Mar-14	Property Damage Only	Other - Vehicle to Vehicle	1	0	BEASLEY STREET (LAMBRIGG -> ATHLLON)	-35.371913	149.096062
16-Apr-12	Injury	Right angle collision	1	1	BEASLEY/LAMBRIGG INTERSECTION	-35.371911	149.096453
17-Apr-12	Property Damage Only	Right angle collision	1	0	BEASLEY/WILKINS INTERSECTION	-35.371386	149.099824
21-Nov-14	Injury	Other - Vehicle to Vehicle	1	1	BEATTIE/HEMMINGS INTERSECTION	-35.421449	149.112807
2-Nov-13	Injury	Right angle collision	1	1	BEETALOO/HAWKER (SW) INTERSECTION	-35.243057	149.041998
19-Mar-15	Property Damage Only	Right turn into oncoming vehicle	1	0	BEISSEL/EMU INTERSECTION	-35.23616	149.065775
5-Jan-15	Injury	Overturned (On Road)	1	1	BELCONNEN WAY (GUNGAHLIN DR -> BARRY DR)	-35.260261	149.098808
30-Aug-12	Injury	Same direction side swipe	1	1	BELCONNEN WAY (GUNGAHLIN DR -> BARRY DR)	-35.260025	149.096363
20-Feb-17	Property Damage Only	Same direction side swipe	1	0	BELCONNEN WAY (GUNGAHLIN DR -> BARRY DR)	-35.258772	149.092441
9-Dec-16	Injury	Other - Vehicle to Vehicle	1	1	BELCONNEN WAY (PETTERD -> COULTER)	-35.243632	149.054751
17-Apr-13	Injury	Struck pedestrian (Off Road)	1	0	BELCONNEN WAY (SPRINGVALE -> SHUMACK)	-35.24348	149.049955
2-Oct-14	Injury	Right angle collision	1	1	BELCONNEN/BELCWGUNGS RAMP/GUNGSBELCERM RAMP INTERSECTION	-35.257433	149.089911
8-Jul-14	Injury	Same direction side swipe	1	1	BELCONNEN/BELCWGUNGS RAMP/GUNGSBELCERM RAMP INTERSECTION	-35.257376	149.090136
4-May-12	Injury	Right angle collision	1	1	BELCONNEN/BENJAMIN INTERSECTION	-35.248098	149.068023
9-Dec-15	Property Damage Only	Other - Vehicle to Vehicle	1	0	BELCONNEN/BENJAMIN INTERSECTION	-35.248064	149.067897
29-Apr-16	Injury	Other - Vehicle to Vehicle	1	1	BELCONNEN/BENJAMIN INTERSECTION	-35.247754	149.067484
24-May-12	Injury	Right angle collision	1	1	BELCONNEN/BINDUBI/EASTERN VALLEY INTERSECTION	-35.250347	149.075938
5-May-13	Property Damage Only	Rear end collision	1	0	BELCONNEN/BINDUBI/EASTERN VALLEY INTERSECTION	-35.250607	149.075643
26-Mar-15	Injury	Other - Vehicle to Vehicle	1	1	BELCONNEN/BINDUBI/EASTERN VALLEY INTERSECTION	-35.250066	149.075849
10-Nov-16	Property Damage Only	Other - Vehicle to Vehicle	1	0	BELCONNEN/COULTER INTERSECTION	-35.244011	149.056286
25-May-17	Property Damage Only	Other - Vehicle to Vehicle	1	0	BELCONNEN/COULTER INTERSECTION	-35.243909	149.05629
28-Nov-14	Injury	Other - Vehicle to Vehicle	1	1	BELCONNEN/HAYDON INTERSECTION	-35.253821	149.085969
27-Feb-17	Injury	Struck pedestrian (On Road)	1	0	BELCONNEN/HAYDON INTERSECTION	-35.253846	149.085583
19-Jun-13	Property Damage Only	Right angle collision	1	0	BELCONNEN/KINGSFORD SMITH INTERSECTION	-35.239802	149.030031
